,TUCASEID,TULINENO,TEAGE,TESEX
8303,20140402141122,2,37,2
8304,20140402141122,3,14,2
8305,20140402141122,4,14,1
8306,20140402141129,1,55,2
8307,20140402141129,2,53,1
8308,20140402141131,1,23,1
8309,20140402141131,2,54,1
8310,20140402141131,3,50,2
8311,20140402141131,4,20,2
8312,20140402141136,1,45,1
8313,20140402141136,2,7,1
8314,20140402141136,4,30,2
8315,20140402141136,5,14,2
8316,20140402141140,1,45,2
8317,20140402141140,2,54,1
8318,20140402141140,3,6,1
8319,20140402141140,4,6,1
8320,20140402141167,1,80,2
8321,20140402141188,1,49,1
8322,20140402141188,2,77,2
8323,20140402141220,1,31,2
8324,20140402141220,2,8,1
8325,20140402141228,1,80,1
8326,20140402141228,2,77,2
8327,20140402141240,1,64,1
8328,20140402141240,2,65,2
8329,20140402141240,3,30,1
8330,20140402141240,4,0,2
8331,20140402141240,5,23,2
8332,20140402141265,1,40,2
8333,20140402141265,2,47,1
8334,20140402141265,3,16,2
8335,20140402141265,4,12,2
8336,20140402141265,5,4,2
8337,20140402141321,1,49,1
8338,20140402141321,2,45,2
8339,20140402141330,1,15,2
8340,20140402141330,2,52,1
8341,20140402141330,3,53,2
8342,20140402141373,1,36,2
8343,20140402141373,2,36,1
8344,20140402141373,3,9,2
8345,20140402141373,4,4,2
8346,20140402141376,1,42,1
8347,20140402141376,3,8,2
8348,20140402141376,4,6,1
8349,20140402141389,1,54,1
8350,20140402141389,2,53,2
8351,20140402141389,3,9,2
8352,20140402141403,1,16,2
8353,20140402141403,2,64,1
8354,20140402141403,3,43,2
8355,20140402141403,4,12,1
8356,20140402141403,5,9,2
8357,20140402141414,1,52,1
8358,20140402141414,2,55,2
8359,20140402141414,3,25,1
8360,20140402141431,1,36,1
8361,20140402141431,2,32,2
8362,20140402141431,3,5,1
8363,20140402141431,4,2,2
8364,20140402141448,1,35,1
8365,20140402141448,2,37,2
8366,20140402141448,3,2,1
8367,20140402141448,4,14,1
8368,20140402141448,5,7,2
8369,20140402141457,1,35,1
8370,20140402141457,2,36,1
8371,20140402141463,1,26,2
8372,20140402141463,2,24,1
8373,20140402141463,3,58,1
8374,20140402141463,5,5,1
8375,20140402141471,1,48,2
8376,20140402141471,2,67,2
8377,20140402141471,3,55,2
8378,20140402141532,1,34,1
8379,20140402141532,2,35,2
8380,20140402141532,4,4,2
8381,20140402141544,1,17,2
8382,20140402141544,2,45,2
8383,20140402141544,3,16,1
8384,20140402141553,1,38,1
8385,20140402141553,2,41,2
8386,20140402141553,3,15,2
8387,20140402141553,4,12,1
8388,20140402141553,5,10,1
8389,20140402141553,6,10,1
8390,20140402141561,1,51,2
8391,20140402141561,2,27,2
8392,20140402141561,3,2,2
8393,20140402141564,1,44,2
8394,20140402141564,2,51,1
8395,20140402141564,3,18,2
8396,20140402141564,4,14,2
8397,20140402141565,1,41,1
8398,20140402141565,2,31,2
8399,20140402141565,3,1,2
8400,20140402141598,1,19,2
8401,20140402141598,2,37,2
8402,20140402141598,3,50,1
8403,20140402141598,4,19,2
8404,20140402141598,5,12,1
8405,20140402141602,1,18,2
8406,20140402141602,2,45,1
8407,20140402141602,3,47,2
8408,20140402141602,4,23,1
8409,20140402141603,1,77,2
8410,20140402141615,1,29,1
8411,20140402141616,1,38,2
8412,20140402141616,2,35,1
8413,20140402141616,3,15,1
8414,20140402141616,4,11,1
8415,20140402141648,1,51,1
8416,20140402141648,2,54,2
8417,20140402141648,3,13,2
8418,20140402141675,1,53,1
8419,20140402141675,2,51,2
8420,20140402141675,3,15,2
8421,20140402141721,1,49,1
8422,20140402141721,2,48,2
8423,20140402141721,3,12,1
8424,20140402141721,4,6,2
8425,20140402141731,1,70,1
8426,20140402141736,1,40,2
8427,20140402141736,2,52,1
8428,20140402141736,3,19,1
8429,20140402141736,4,15,1
8430,20140402141744,1,37,2
8431,20140402141744,2,46,1
8432,20140402141744,3,14,2
8433,20140402141751,1,30,2
8434,20140402141751,2,4,1
8435,20140402141757,1,42,2
8436,20140402141757,2,39,1
8437,20140402141757,3,18,2
8438,20140402141758,1,48,2
8439,20140402141758,2,50,1
8440,20140402141758,3,26,2
8441,20140402141758,5,14,1
8442,20140402141763,1,31,2
8443,20140402141763,2,36,1
8444,20140402141763,3,0,1
8445,20140402141776,1,40,2
8446,20140402141776,2,44,1
8447,20140402141776,3,6,2
8448,20140402141776,4,1,1
8449,20140402141799,1,23,2
8450,20140402141819,1,16,2
8451,20140402141819,2,38,2
8452,20140402141819,3,38,1
8453,20140402141819,4,18,2
8454,20140402141819,5,15,1
8455,20140402141819,6,12,1
8456,20140402141848,1,55,1
8457,20140402141848,2,60,2
8458,20140402141864,1,60,1
8459,20140402141864,2,57,2
8460,20140402141864,3,85,2
8461,20140402141883,1,38,1
8462,20140402141883,2,39,2
8463,20140402141883,3,13,1
8464,20140402141883,4,8,1
8465,20140402141883,5,1,2
8466,20140402141914,1,15,2
8467,20140402141914,2,57,1
8468,20140402141914,3,52,2
8469,20140402141914,4,15,2
8470,20140402141919,1,61,1
8471,20140402141919,2,59,2
8472,20140402141919,3,21,1
8473,20140402141943,1,80,1
8474,20140402141943,2,56,1
8475,20140402141943,3,80,2
8476,20140402141951,1,15,2
8477,20140402141951,2,31,2
8478,20140402141951,3,13,2
8479,20140402141951,4,9,1
8480,20140402141951,5,7,1
8481,20140402141951,6,2,2
8482,20140402141951,7,34,1
8483,20140402141962,1,80,1
8484,20140402141974,1,34,2
8485,20140402141974,2,3,1
8486,20140402141974,3,11,2
8487,20140402141974,4,5,2
8488,20140402141985,1,49,2
8489,20140402141985,2,51,1
8490,20140402141985,3,25,1
8491,20140402141985,4,19,2
8492,20140402141991,1,27,1
8493,20140402141991,2,25,2
8494,20140402141997,1,42,2
8495,20140402141997,2,18,1
8496,20140402141997,3,10,2
8497,20140402142042,1,20,1
8498,20140402142042,2,63,1
8499,20140402142042,3,57,2
8500,20140402142042,4,24,1
8501,20140402142048,1,43,2
8502,20140402142048,2,46,1
8503,20140402142048,3,3,1
8504,20140402142050,1,49,2
8505,20140402142050,2,51,1
8506,20140402142050,3,14,1
8507,20140402142050,4,12,1
8508,20140402142073,1,58,1
8509,20140402142079,1,38,1
8510,20140402142079,2,39,2
8511,20140402142079,3,10,2
8512,20140402142079,4,8,2
8513,20140402142079,5,2,2
8514,20140402142118,1,30,2
8515,20140402142118,2,31,1
8516,20140402142118,3,0,2
8517,20140402142179,1,67,1
8518,20140402142179,2,61,2
8519,20140402142190,1,18,2
8520,20140402142190,2,45,2
8521,20140402142192,1,54,1
8522,20140402142192,2,74,2
8523,20140402142192,3,47,2
8524,20140402142213,1,41,2
8525,20140402142213,2,41,1
8526,20140402142213,3,19,1
8527,20140402142213,4,6,2
8528,20140402142234,1,49,2
8529,20140402142234,2,50,1
8530,20140402142248,1,38,2
8531,20140402142248,2,43,1
8532,20140402142248,3,13,2
8533,20140402142248,4,7,1
8534,20140402142254,1,44,2
8535,20140402142254,2,43,1
8536,20140402142254,3,11,1
8537,20140402142257,1,60,2
8538,20140402142257,2,41,1
8539,20140402142269,1,39,1
8540,20140402142269,2,85,2
8541,20140402142269,3,59,2
8542,20140402142301,1,18,2
8543,20140402142301,2,52,1
8544,20140402142301,3,49,2
8545,20140402142301,4,23,2
8546,20140402142306,1,65,1
8547,20140402142319,1,64,2
8548,20140402142329,1,38,1
8549,20140402142365,1,85,2
8550,20140402142367,1,47,1
8551,20140402142367,2,50,2
8552,20140402142384,1,85,2
8553,20140402142395,1,27,2
8554,20140402142395,2,28,1
8555,20140402142434,1,27,1
8556,20140402142453,1,31,2
8557,20140402142453,2,28,2
8558,20140402142464,1,65,2
8559,20140402142464,2,37,2
8560,20140402142464,3,36,1
8561,20140402142464,4,9,2
8562,20140402142464,5,7,1
8563,20140402142464,6,4,1
8564,20140402142474,1,31,2
8565,20140402142474,2,6,1
8566,20140403140002,1,44,1
8567,20140403140002,2,44,2
8568,20140403140002,3,13,2
8569,20140403140002,4,11,2
8570,20140403140002,5,4,2
8571,20140403140005,1,26,1
8572,20140403140007,1,18,2
8573,20140403140007,2,41,1
8574,20140403140007,3,44,2
8575,20140403140008,1,34,2
8576,20140403140008,2,35,1
8577,20140403140008,3,11,2
8578,20140403140008,4,9,2
8579,20140403140009,1,61,2
8580,20140403140012,1,18,1
8581,20140403140012,2,40,2
8582,20140403140012,3,39,1
8583,20140403140012,4,20,1
8584,20140403140012,5,11,2
8585,20140403140012,6,1,1
8586,20140403140013,1,45,2
8587,20140403140014,1,85,2
8588,20140403140015,1,51,1
8589,20140403140018,1,44,1
8590,20140403140018,2,65,1
8591,20140403140018,3,46,1
8592,20140403140020,1,53,2
8593,20140403140020,2,58,1
8594,20140403140022,1,47,2
8595,20140403140022,2,50,1
8596,20140403140022,3,18,2
8597,20140403140024,1,62,2
8598,20140403140031,1,62,2
8599,20140403140036,1,17,1
8600,20140403140036,2,40,2
8601,20140403140036,3,14,2
8602,20140403140036,4,12,2
8603,20140403140047,1,47,1
8604,20140403140047,2,46,2
8605,20140403140047,3,18,1
8606,20140403140047,4,17,1
8607,20140403140052,1,85,2
8608,20140403140053,1,60,1
8609,20140403140057,1,65,2
8610,20140403140057,2,85,2
8611,20140403140059,1,32,2
8612,20140403140062,1,21,2
8613,20140403140067,1,53,1
8614,20140403140067,2,59,2
8615,20140403140067,3,37,1
8616,20140403140067,4,79,2
8617,20140403140067,5,27,1
8618,20140403140081,1,51,1
8619,20140403140081,2,50,2
8620,20140403140088,1,55,2
8621,20140403140090,1,38,1
8622,20140403140090,2,43,2
8623,20140403140090,3,3,2
8624,20140403140090,4,2,1
8625,20140403140091,1,47,2
8626,20140403140091,2,21,2
8627,20140403140093,1,25,2
8628,20140403140094,1,17,2
8629,20140403140094,2,37,2
8630,20140403140094,3,14,1
8631,20140403140095,1,67,2
8632,20140403140095,2,63,1
8633,20140403140097,1,39,2
8634,20140403140097,2,39,1
8635,20140403140097,3,11,2
8636,20140403140097,4,7,2
8637,20140403140097,5,0,2
8638,20140403140103,1,62,1
8639,20140403140103,2,62,2
8640,20140403140107,1,34,1
8641,20140403140107,2,29,1
8642,20140403140107,3,6,1
8643,20140403140107,4,4,1
8644,20140403140110,1,70,2
8645,20140403140111,1,51,2
8646,20140403140121,1,56,2
8647,20140403140121,2,72,1
8648,20140403140121,3,30,2
8649,20140403140123,1,78,1
8650,20140403140123,2,68,2
8651,20140403140129,1,44,2
8652,20140403140129,2,51,1
8653,20140403140129,3,12,1
8654,20140403140130,1,69,1
8655,20140403140130,2,64,2
8656,20140403140132,1,37,2
8657,20140403140132,2,39,1
8658,20140403140136,1,28,2
8659,20140403140136,2,34,1
8660,20140403140139,1,53,2
8661,20140403140145,1,49,1
8662,20140403140504,1,43,2
8663,20140403140504,2,15,1
8664,20140403140508,1,65,2
8665,20140403140509,1,80,1
8666,20140403140509,2,85,2
8667,20140403140511,1,61,2
8668,20140403140511,2,75,1
8669,20140403140514,1,61,2
8670,20140403140516,1,27,1
8671,20140403140516,2,26,2
8672,20140403140516,3,1,1
8673,20140403140517,1,65,1
8674,20140403140517,2,66,2
8675,20140403140518,1,33,2
8676,20140403140525,1,25,2
8677,20140403140527,1,38,1
8678,20140403140527,2,36,2
8679,20140403140527,3,7,1
8680,20140403140527,4,1,1
8681,20140403140527,5,9,2
8682,20140403140529,1,69,2
8683,20140403140541,1,17,2
8684,20140403140541,2,51,2
8685,20140403140541,3,54,1
8686,20140403140541,4,15,1
8687,20140403140541,5,13,1
8688,20140403140542,1,47,2
8689,20140403140542,2,15,2
8690,20140403140543,1,18,2
8691,20140403140543,2,46,1
8692,20140403140544,1,29,1
8693,20140403140544,2,4,2
8694,20140403140544,3,26,2
8695,20140403140545,1,15,2
8696,20140403140545,2,38,2
8697,20140403140545,3,39,1
8698,20140403140545,4,17,1
8699,20140403140545,5,13,1
8700,20140403140545,6,4,2
8701,20140403140546,1,73,2
8702,20140403140546,2,68,1
8703,20140403140547,1,16,2
8704,20140403140547,2,38,2
8705,20140403140547,3,20,2
8706,20140403140548,1,33,1
8707,20140403140548,2,31,2
8708,20140403140548,3,6,2
8709,20140403140548,4,4,1
8710,20140403140551,1,21,2
8711,20140403140551,2,23,1
8712,20140403140551,3,0,2
8713,20140403140552,1,53,2
8714,20140403140558,1,59,2
8715,20140403140558,2,66,1
8716,20140403140561,1,35,1
8717,20140403140561,2,33,2
8718,20140403140561,3,10,1
8719,20140403140561,4,7,1
8720,20140403140562,1,61,1
8721,20140403140564,1,85,1
8722,20140403140568,1,55,1
8723,20140403140573,1,43,1
8724,20140403140573,2,57,2
8725,20140403140585,1,34,1
8726,20140403140585,2,35,2
8727,20140403140585,3,4,1
8728,20140403140585,4,3,1
8729,20140403140588,1,57,2
8730,20140403140589,1,29,1
8731,20140403140590,1,66,2
8732,20140403140594,1,77,2
8733,20140403140594,2,77,1
8734,20140403140597,1,41,2
8735,20140403140599,1,57,2
8736,20140403140599,2,59,1
8737,20140403140602,1,29,1
8738,20140403140602,2,30,2
8739,20140403140604,1,71,2
8740,20140403140605,1,63,1
8741,20140403140605,2,61,2
8742,20140403140610,1,74,1
8743,20140403140610,2,72,2
8744,20140403140610,3,41,2
8745,20140403140610,4,11,2
8746,20140403140611,1,80,2
8747,20140403140620,1,49,1
8748,20140403140620,3,44,1
8749,20140403140621,1,51,2
8750,20140403140621,2,56,1
8751,20140403140621,3,15,1
8752,20140403140623,1,46,1
8753,20140403140623,2,8,1
8754,20140403140626,1,27,1
8755,20140403140628,1,44,1
8756,20140403140629,1,77,2
8757,20140403140631,1,80,1
8758,20140403140633,1,46,1
8759,20140403140633,2,10,1
8760,20140403140633,3,8,1
8761,20140403140633,4,6,2
8762,20140403140635,1,48,1
8763,20140403140635,2,10,2
8764,20140403140640,1,37,2
8765,20140403140640,2,10,1
8766,20140403140640,3,8,2
8767,20140403140640,4,8,1
8768,20140403140641,1,45,2
8769,20140403140641,2,45,1
8770,20140403140641,3,12,1
8771,20140403140641,4,12,2
8772,20140403140644,1,33,2
8773,20140403140648,1,23,1
8774,20140403140648,2,23,2
8775,20140403140648,3,0,2
8776,20140403140649,1,56,1
8777,20140403140649,2,55,2
8778,20140403140650,1,25,2
8779,20140403140650,2,33,1
8780,20140403140650,3,3,1
8781,20140403140650,4,2,1
8782,20140403140652,1,48,1
8783,20140403140652,2,49,2
8784,20140403140652,3,13,1
8785,20140403140652,4,10,1
8786,20140403140655,1,59,2
8787,20140403140655,2,60,2
8788,20140403140656,1,77,1
8789,20140403140659,1,37,2
8790,20140403140659,2,40,1
8791,20140403140659,3,0,2
8792,20140403140659,4,17,2
8793,20140403140659,5,12,1
8794,20140403140660,1,47,1
8795,20140403140660,2,16,1
8796,20140403140666,1,57,1
8797,20140403140666,2,56,2
8798,20140403140668,1,31,2
8799,20140403140668,5,29,1
8800,20140403140670,1,33,1
8801,20140403140670,2,31,2
8802,20140403140670,3,5,2
8803,20140403140670,4,1,2
8804,20140403140670,5,14,2
8805,20140403140670,6,13,2
8806,20140403140672,1,49,1
8807,20140403140672,2,49,2
8808,20140403140672,3,20,1
8809,20140403140672,4,18,2
8810,20140403140672,5,14,1
8811,20140403140672,6,12,1
8812,20140403140675,1,25,1
8813,20140403140675,2,23,2
8814,20140403140675,3,1,2
8815,20140403140678,1,24,2
8816,20140403140678,2,43,2
8817,20140403140678,3,21,2
8818,20140403140678,4,6,1
8819,20140403140682,1,55,2
8820,20140403140682,2,56,1
8821,20140403140682,3,27,2
8822,20140403140682,4,14,2
8823,20140403140682,5,32,1
8824,20140403140685,1,29,2
8825,20140403140685,2,31,1
8826,20140403140685,4,0,2
8827,20140403140687,1,59,1
8828,20140403140687,2,54,2
8829,20140403140690,1,34,2
8830,20140403140690,2,35,1
8831,20140403140696,1,23,1
8832,20140403140696,2,21,2
8833,20140403140696,3,0,1
8834,20140403140700,1,71,2
8835,20140403140700,2,72,1
8836,20140403140702,1,49,1
8837,20140403140702,2,50,2
8838,20140403140702,3,19,2
8839,20140403140704,1,33,1
8840,20140403140704,2,33,2
8841,20140403140707,1,69,2
8842,20140403140713,1,61,1
8843,20140403140713,2,60,2
8844,20140403140713,3,4,2
8845,20140403140718,1,63,1
8846,20140403140724,1,30,1
8847,20140403140724,2,28,2
8848,20140403140724,3,8,1
8849,20140403140724,4,6,1
8850,20140403140724,5,0,2
8851,20140403140731,1,59,2
8852,20140403140731,2,28,2
8853,20140403140733,1,42,2
8854,20140403140733,2,42,1
8855,20140403140733,3,5,2
8856,20140403140735,1,34,2
8857,20140403140735,2,8,2
8858,20140403140741,1,36,2
8859,20140403140741,2,39,2
8860,20140403140747,1,59,2
8861,20140403140747,2,68,1
8862,20140403140752,1,85,2
8863,20140403140764,1,63,2
8864,20140403140765,1,68,1
8865,20140403140770,1,33,2
8866,20140403140770,2,34,1
8867,20140403140770,3,3,1
8868,20140403140770,4,7,1
8869,20140403140772,1,65,2
8870,20140403140773,1,80,2
8871,20140403140773,2,80,1
8872,20140403140775,1,29,1
8873,20140403140775,2,24,2
8874,20140403140783,1,55,1
8875,20140403140783,2,71,2
8876,20140403140787,1,58,2
8877,20140403140788,1,74,2
8878,20140403140789,1,49,2
8879,20140403140789,2,15,2
8880,20140403140791,1,36,1
8881,20140403140791,2,36,2
8882,20140403140795,1,76,2
8883,20140403140795,2,51,2
8884,20140403140795,3,21,1
8885,20140403140796,1,70,2
8886,20140403140797,1,64,1
8887,20140403140797,2,55,2
8888,20140403140800,1,80,2
8889,20140403140800,2,80,1
8890,20140403140801,1,24,1
8891,20140403140801,2,24,2
8892,20140403140822,1,51,1
8893,20140403140822,2,65,2
8894,20140403140822,3,47,2
8895,20140403140830,1,53,2
8896,20140403140830,2,49,1
8897,20140403140837,1,60,2
8898,20140403140837,2,85,2
8899,20140403140838,1,37,1
8900,20140403140838,2,36,2
8901,20140403140838,3,2,2
8902,20140403140843,1,54,2
8903,20140403140843,2,23,1
8904,20140403140847,1,80,1
8905,20140403140847,2,53,2
8906,20140403140848,1,65,1
8907,20140403140856,1,53,2
8908,20140403140857,1,47,2
8909,20140403140857,2,46,1
8910,20140403140857,4,13,2
8911,20140403140857,5,11,1
8912,20140403140864,1,55,1
8913,20140403140866,1,71,2
8914,20140403140866,2,71,1
8915,20140403140868,1,36,2
8916,20140403140868,2,37,1
8917,20140403140868,3,3,1
8918,20140403140868,4,8,1
8919,20140403140870,1,44,1
8920,20140403140870,2,42,2
8921,20140403140870,3,14,1
8922,20140403140873,1,74,1
8923,20140403140873,2,40,2
8924,20140403140873,3,66,2
8925,20140403140873,4,10,1
8926,20140403140873,5,7,2
8927,20140403140877,1,65,2
8928,20140403140877,2,69,1
8929,20140403140882,1,68,2
8930,20140403140882,2,41,1
8931,20140403140882,4,44,2
8932,20140403140883,1,37,2
8933,20140403140883,2,9,2
8934,20140403140883,3,7,2
8935,20140403140883,4,37,1
8936,20140403140885,1,33,1
8937,20140403140885,2,40,2
8938,20140403140885,3,12,1
8939,20140403140885,4,10,1
8940,20140403140886,1,62,1
8941,20140403140902,1,53,1
8942,20140403140902,2,48,2
8943,20140403140902,3,13,1
8944,20140403140902,4,11,2
8945,20140403140902,5,8,1
8946,20140403140904,1,58,2
8947,20140403140904,2,23,1
8948,20140403140905,1,59,2
8949,20140403140906,1,17,1
8950,20140403140906,2,40,2
8951,20140403140907,1,76,1
8952,20140403140908,1,70,2
8953,20140403140908,2,73,1
8954,20140403140910,1,54,1
8955,20140403140911,1,32,2
8956,20140403140911,2,31,1
8957,20140403140911,3,1,1
8958,20140403140912,1,56,1
8959,20140403140912,2,52,2
8960,20140403140912,3,22,1
8961,20140403140917,1,69,2
8962,20140403140917,2,59,1
8963,20140403140922,1,60,1
8964,20140403140926,1,35,1
8965,20140403140926,2,27,2
8966,20140403140926,3,7,2
8967,20140403140926,4,2,1
8968,20140403140933,1,80,2
8969,20140403140938,1,34,2
8970,20140403140939,1,70,2
8971,20140403140940,1,73,2
8972,20140403140940,2,62,1
8973,20140403140941,1,44,1
8974,20140403140941,2,41,2
8975,20140403140941,3,12,2
8976,20140403140941,4,10,1
8977,20140403140941,5,7,1
8978,20140403140941,6,3,1
8979,20140403140942,1,33,2
8980,20140403140942,2,64,2
8981,20140403140942,3,50,2
8982,20140403140942,4,21,1
8983,20140403140942,5,13,1
8984,20140403140942,6,7,2
8985,20140403140944,1,73,1
8986,20140403140944,2,68,2
8987,20140403140945,1,73,1
8988,20140403140949,1,48,1
8989,20140403140949,2,46,2
8990,20140403140949,3,7,1
8991,20140403140949,4,6,2
8992,20140403140951,1,63,1
8993,20140403140951,2,64,2
8994,20140403140951,3,27,2
8995,20140403140951,4,8,2
8996,20140403140951,5,6,1
8997,20140403140952,1,16,1
8998,20140403140952,2,41,1
8999,20140403140952,3,40,2
9000,20140403140952,4,18,1
9001,20140403140952,5,14,1
9002,20140403140952,6,12,2
9003,20140403140952,7,9,2
9004,20140403140953,1,48,1
9005,20140403140953,3,15,2
9006,20140403140953,4,25,2
9007,20140403140953,5,31,2
9008,20140403140953,6,3,2
9009,20140403140955,1,46,2
9010,20140403140955,2,50,1
9011,20140403140955,3,14,2
9012,20140403140955,4,11,1
9013,20140403140958,1,31,2
9014,20140403140958,2,59,2
9015,20140403140959,1,37,2
9016,20140403140959,2,46,1
9017,20140403140959,3,17,2
9018,20140403140959,4,16,2
9019,20140403140959,5,15,1
9020,20140403140960,1,63,1
9021,20140403140963,1,46,1
9022,20140403140963,2,65,2
9023,20140403140964,1,38,2
9024,20140403140964,2,50,1
9025,20140403140964,3,9,1
9026,20140403140964,4,6,2
9027,20140403140964,5,59,2
9028,20140403140964,6,17,2
9029,20140403140968,1,70,2
9030,20140403140968,2,74,1
9031,20140403140970,1,29,2
9032,20140403140970,2,32,1
9033,20140403140970,3,4,1
9034,20140403140970,4,6,1
9035,20140403140975,1,33,2
9036,20140403140975,2,36,2
9037,20140403140975,5,28,2
9038,20140403140975,8,39,2
9039,20140403140976,1,57,2
9040,20140403140976,2,55,1
9041,20140403140986,1,33,1
9042,20140403140986,2,28,2
9043,20140403140986,3,6,1
9044,20140403140986,4,1,1
9045,20140403140990,1,29,1
9046,20140403140991,1,45,1
9047,20140403140991,2,9,1
9048,20140403140991,3,7,2
9049,20140403140993,1,32,1
9050,20140403140994,1,27,2
9051,20140403140994,2,51,2
9052,20140403140994,3,6,2
9053,20140403140995,1,59,2
9054,20140403140995,2,66,1
9055,20140403140995,3,58,1
9056,20140403141001,1,45,2
9057,20140403141001,2,51,1
9058,20140403141001,3,14,2
9059,20140403141001,4,8,2
9060,20140403141004,1,41,2
9061,20140403141004,2,14,2
9062,20140403141004,3,3,1
9063,20140403141005,1,49,1
9064,20140403141005,2,49,2
9065,20140403141005,3,12,1
9066,20140403141006,1,51,1
9067,20140403141006,2,52,2
9068,20140403141008,1,42,1
9069,20140403141009,1,55,1
9070,20140403141009,2,52,2
9071,20140403141011,1,67,2
9072,20140403141011,2,70,1
9073,20140403141017,1,35,2
9074,20140403141017,2,35,1
9075,20140403141017,3,11,2
9076,20140403141017,4,6,2
9077,20140403141017,5,1,1
9078,20140403141019,1,52,2
9079,20140403141019,2,59,1
9080,20140403141019,3,29,2
9081,20140403141019,4,5,1
9082,20140403141019,5,85,2
9083,20140403141025,1,37,1
9084,20140403141030,1,52,1
9085,20140403141030,2,10,1
9086,20140403141031,1,41,2
9087,20140403141031,2,48,1
9088,20140403141031,3,3,1
9089,20140403141031,4,12,2
9090,20140403141034,1,22,2
9091,20140403141034,2,3,2
9092,20140403141038,1,30,2
9093,20140403141039,1,69,1
9094,20140403141043,1,25,2
9095,20140403141043,2,36,1
9096,20140403141043,3,58,2
9097,20140403141044,1,47,1
9098,20140403141044,2,43,2
9099,20140403141048,1,28,1
9100,20140403141048,2,28,2
9101,20140403141048,3,5,2
9102,20140403141050,1,37,2
9103,20140403141050,2,45,1
9104,20140403141050,3,11,1
9105,20140403141050,4,8,1
9106,20140403141052,1,79,1
9107,20140403141052,2,65,2
9108,20140403141053,1,63,2
9109,20140403141058,1,66,2
9110,20140403141058,2,73,1
9111,20140403141059,1,65,2
9112,20140403141064,1,50,2
9113,20140403141064,2,42,2
9114,20140403141064,3,8,2
9115,20140403141064,4,6,2
9116,20140403141065,1,52,2
9117,20140403141068,1,54,2
9118,20140403141068,2,37,1
9119,20140403141070,1,53,2
9120,20140403141070,2,25,2
9121,20140403141072,1,20,2
9122,20140403141072,2,41,2
9123,20140403141072,3,22,1
9124,20140403141072,4,20,1
9125,20140403141072,7,2,1
9126,20140403141072,8,12,2
9127,20140403141073,1,32,1
9128,20140403141073,2,41,2
9129,20140403141073,3,74,2
9130,20140403141074,1,56,1
9131,20140403141074,2,44,2
9132,20140403141074,3,4,1
9133,20140403141081,1,55,2
9134,20140403141081,2,56,1
9135,20140403141081,3,12,1
9136,20140403141083,1,62,1
9137,20140403141083,2,60,2
9138,20140403141085,1,32,2
9139,20140403141085,2,3,2
9140,20140403141087,1,75,2
9141,20140403141087,2,76,1
9142,20140403141087,3,52,1
9143,20140403141094,1,40,2
9144,20140403141094,2,44,1
9145,20140403141094,3,12,2
9146,20140403141094,4,10,1
9147,20140403141094,5,8,1
9148,20140403141094,6,5,1
9149,20140403141096,1,40,2
9150,20140403141096,2,14,2
9151,20140403141096,3,11,1
9152,20140403141099,1,62,1
9153,20140403141099,2,50,2
9154,20140403141099,3,27,1
9155,20140403141099,4,11,2
9156,20140403141101,1,45,2
9157,20140403141106,1,41,2
9158,20140403141106,2,11,1
9159,20140403141106,3,6,2
9160,20140403141106,4,5,1
9161,20140403141111,1,40,1
9162,20140403141111,2,41,2
9163,20140403141111,3,9,1
9164,20140403141111,4,11,1
9165,20140403141111,5,7,1
9166,20140403141117,1,85,2
9167,20140403141119,1,39,2
9168,20140403141119,2,3,2
9169,20140403141128,1,59,2
9170,20140403141128,2,65,1
9171,20140403141129,1,53,2
9172,20140403141129,2,54,1
9173,20140403141129,3,21,1
9174,20140403141129,4,17,1
9175,20140403141129,5,15,2
9176,20140403141130,1,63,2
9177,20140403141130,2,78,1
9178,20140403141133,1,46,2
9179,20140403141133,2,55,1
9180,20140403141133,3,14,1
9181,20140403141137,1,58,2
9182,20140403141139,1,27,1
9183,20140403141139,2,29,2
9184,20140403141139,3,6,1
9185,20140403141139,4,0,2
9186,20140403141144,1,55,2
9187,20140403141144,2,60,1
9188,20140403141144,3,26,1
9189,20140403141146,1,85,1
9190,20140403141151,1,34,2
9191,20140403141154,1,55,1
9192,20140403141154,2,50,2
9193,20140403141155,1,52,2
9194,20140403141155,2,54,1
9195,20140403141157,1,39,2
9196,20140403141157,2,43,1
9197,20140403141157,3,1,1
9198,20140403141161,1,80,2
9199,20140403141169,1,37,2
9200,20140403141169,2,34,1
9201,20140403141169,3,7,1
9202,20140403141169,4,2,1
9203,20140403141173,1,76,2
9204,20140403141175,1,25,2
9205,20140403141175,2,26,1
9206,20140403141175,3,3,1
9207,20140403141175,4,1,2
9208,20140403141178,1,35,2
9209,20140403141178,2,45,1
9210,20140403141178,3,5,1
9211,20140403141178,4,4,1
9212,20140403141178,5,1,2
9213,20140403141186,1,53,2
9214,20140403141186,2,52,1
9215,20140403141186,3,26,1
9216,20140403141186,4,32,1
9217,20140403141188,1,35,2
9218,20140403141188,2,41,1
9219,20140403141188,3,16,2
9220,20140403141188,4,7,1
9221,20140403141188,5,0,2
9222,20140403141188,6,14,1
9223,20140403141196,1,79,2
9224,20140403141199,1,48,1
9225,20140403141199,2,47,2
9226,20140403141199,3,12,2
9227,20140403141199,4,9,2
9228,20140403141201,1,57,1
9229,20140403141201,3,30,2
9230,20140403141201,4,31,1
9231,20140403141201,5,26,1
9232,20140403141201,6,13,2
9233,20140403141201,7,11,2
