,TUCASEID,TULINENO,TEAGE,TESEX
198,20140101142132,3,9,2
199,20140101142132,4,6,2
200,20140101142146,1,46,2
201,20140101142146,2,49,1
202,20140101142146,3,21,2
203,20140101142155,1,62,1
204,20140101142155,2,63,2
205,20140101142168,1,53,1
206,20140101142188,1,79,1
207,20140101142188,2,74,2
208,20140101142193,1,67,1
209,20140101142193,2,64,2
210,20140101142205,1,62,2
211,20140101142205,2,67,1
212,20140101142228,1,50,2
213,20140101142228,2,53,1
214,20140101142228,3,28,2
215,20140101142228,4,23,2
216,20140101142228,5,3,1
217,20140101142230,1,47,2
218,20140101142230,2,14,1
219,20140101142236,1,18,2
220,20140101142236,2,48,1
221,20140101142236,3,50,2
222,20140101142236,4,15,2
223,20140101142253,1,48,2
224,20140101142253,2,65,1
225,20140101142253,3,20,1
226,20140101142257,1,85,2
227,20140101142265,1,36,2
228,20140101142265,2,36,1
229,20140101142265,3,15,2
230,20140101142265,4,13,1
231,20140101142265,5,4,2
232,20140101142278,1,64,1
233,20140101142278,2,80,2
234,20140101142301,1,42,1
235,20140101142319,1,65,2
236,20140101142325,1,80,2
237,20140101142328,1,56,2
238,20140101142328,2,85,1
239,20140101142328,3,80,2
240,20140101142357,1,34,1
241,20140101142357,2,33,2
242,20140101142357,3,4,1
243,20140101142357,4,2,2
244,20140101142357,5,10,1
245,20140101142363,1,57,2
246,20140101142378,1,34,1
247,20140101142378,2,27,2
248,20140101142378,3,4,2
249,20140101142378,4,2,1
250,20140101142406,1,35,2
251,20140101142406,2,18,1
252,20140101142406,3,3,1
253,20140101142416,1,59,2
254,20140101142416,2,57,1
255,20140101142417,1,31,2
256,20140101142417,2,31,1
257,20140101142417,3,3,1
258,20140101142417,4,2,1
259,20140101142417,5,0,1
260,20140101142433,1,52,2
261,20140101142433,2,58,1
262,20140101142452,1,52,2
263,20140110130935,1,80,2
264,20140110130935,2,71,1
265,20140110131118,1,44,2
266,20140110131118,2,39,1
267,20140110131118,3,16,2
268,20140110131118,4,8,1
269,20140110131176,1,51,2
270,20140110131176,2,14,1
271,20140110131176,3,72,2
272,20140110131331,1,39,2
273,20140110131331,2,37,1
274,20140110131331,3,10,2
275,20140110131331,4,9,1
276,20140110131331,5,6,1
277,20140110131331,6,4,2
278,20140110131331,7,72,2
279,20140110131395,1,61,1
280,20140110131395,2,57,2
281,20140110131395,3,14,1
282,20140110131421,1,60,1
283,20140110131656,1,71,1
284,20140110131797,1,16,2
285,20140110131797,2,67,1
286,20140110131797,3,51,2
287,20140110131797,4,22,1
288,20140110131853,1,45,1
289,20140110131853,2,14,2
290,20140110131853,3,11,2
291,20140110131853,4,5,2
292,20140110131853,5,34,2
293,20140110131940,1,36,1
294,20140110131940,2,35,2
295,20140110131940,3,10,2
296,20140110131940,4,8,1
297,20140110131940,5,6,1
298,20140110131940,9,0,1
299,20140110131947,1,37,2
300,20140110131947,2,37,1
301,20140110131947,3,10,2
302,20140110131947,4,9,2
303,20140110131947,5,3,2
304,20140110131947,6,0,1
305,20140110131979,1,62,2
306,20140110131979,2,61,1
307,20140110132111,1,54,1
308,20140110132111,2,49,2
309,20140110132111,3,9,2
310,20140110132111,4,5,2
311,20140110132335,1,57,2
312,20140111130038,1,44,2
313,20140111130133,1,62,2
314,20140111130133,2,35,1
315,20140111130136,1,58,1
316,20140111130136,2,54,2
317,20140111130136,3,9,1
318,20140111130147,1,55,2
319,20140111130147,2,53,1
320,20140111130153,1,80,2
321,20140111130154,1,75,2
322,20140111130154,2,78,1
323,20140111130176,1,36,1
324,20140111130176,2,7,1
325,20140111130176,3,36,2
326,20140111130176,4,17,1
327,20140111130501,1,58,1
328,20140111130501,2,32,2
329,20140111130501,3,56,2
330,20140111130501,4,27,1
331,20140111130502,1,36,1
332,20140111130502,2,32,2
333,20140111130502,3,3,1
334,20140111130502,4,0,1
335,20140111130503,1,46,2
336,20140111130503,2,45,1
337,20140111130505,1,35,1
338,20140111130505,2,33,2
339,20140111130505,3,6,1
340,20140111130505,4,0,1
341,20140111130505,5,32,2
342,20140111130508,1,31,1
343,20140111130508,2,56,1
344,20140111130508,3,55,2
345,20140111130521,1,25,2
346,20140111130521,2,27,1
347,20140111130521,3,5,1
348,20140111130541,1,50,1
349,20140111130541,2,49,2
350,20140111130541,3,32,1
351,20140111130560,1,60,1
352,20140111130560,2,54,2
353,20140111130560,3,24,2
354,20140111130560,4,85,2
355,20140111130560,5,62,1
356,20140111130560,6,53,2
357,20140111130560,7,24,1
358,20140111130562,1,62,2
359,20140111130562,2,63,1
360,20140111130564,1,25,1
361,20140111130564,2,25,2
362,20140111130568,1,37,2
363,20140111130568,2,42,1
364,20140111130568,3,12,1
365,20140111130568,4,10,2
366,20140111130584,1,29,1
367,20140111130584,2,37,2
368,20140111130584,3,35,1
369,20140111130584,4,9,1
370,20140111130584,5,13,1
371,20140111130585,1,15,1
372,20140111130585,2,77,1
373,20140111130585,3,73,2
374,20140111130585,4,49,2
375,20140111130585,5,17,1
376,20140111130588,1,65,2
377,20140111130596,1,47,2
378,20140111130596,2,15,1
379,20140111130596,3,13,1
380,20140111130596,4,11,2
381,20140111130605,1,49,2
382,20140111130605,2,48,1
383,20140111130605,3,16,1
384,20140111130605,4,16,1
385,20140111130618,1,28,1
386,20140111130618,2,25,2
387,20140111130618,3,0,2
388,20140111130624,1,50,2
389,20140111130624,2,53,1
390,20140111130650,1,48,1
391,20140111130650,2,43,2
392,20140111130650,3,16,1
393,20140111130659,1,57,1
394,20140111130659,2,39,2
395,20140111130669,1,66,1
396,20140111130669,2,60,2
397,20140111130699,1,16,2
398,20140111130699,2,58,2
399,20140111130699,3,13,1
400,20140111130699,4,11,2
401,20140111130720,1,58,1
402,20140111130720,2,53,2
403,20140111130721,1,34,1
404,20140111130721,2,13,2
405,20140111130721,3,12,1
406,20140111130721,4,30,2
407,20140111130721,5,11,2
408,20140111130730,1,65,1
409,20140111130730,2,62,2
410,20140111130758,1,42,1
411,20140111130758,2,17,1
412,20140111130793,1,46,2
413,20140111130793,2,51,1
414,20140111130793,3,21,1
415,20140111130793,4,13,1
416,20140111130794,1,34,2
417,20140111130794,2,34,1
418,20140111130794,3,3,2
419,20140111130794,4,1,2
420,20140111130843,1,44,1
421,20140111130843,2,40,2
422,20140111130843,3,16,1
423,20140111130843,4,14,2
424,20140111130843,5,11,2
425,20140111130847,1,61,1
426,20140111130847,2,56,2
427,20140111130850,1,67,2
428,20140111130854,1,44,2
429,20140111130854,3,19,2
430,20140111130854,4,12,1
431,20140111130854,5,10,2
432,20140111130854,6,6,2
433,20140111130858,1,65,2
434,20140111130858,2,11,1
435,20140111130859,1,67,2
436,20140111130859,2,79,1
437,20140111130859,3,26,2
438,20140111130862,1,26,1
439,20140111130868,1,58,1
440,20140111130868,2,53,2
441,20140111130868,3,18,2
442,20140111130868,4,12,1
443,20140111130902,1,50,2
444,20140111130921,1,28,2
445,20140111130921,2,7,1
446,20140111130921,3,1,2
447,20140111130922,1,49,2
448,20140111130922,2,44,1
449,20140111130922,3,18,2
450,20140111130927,1,73,2
451,20140111130929,1,73,2
452,20140111130929,2,73,1
453,20140111130952,1,54,1
454,20140111130952,2,46,1
455,20140111130952,3,56,2
456,20140111130952,4,28,1
457,20140111130952,5,26,2
458,20140111130952,6,8,2
459,20140111130981,1,37,2
460,20140111130981,2,49,1
461,20140111130981,3,14,2
462,20140111130984,1,16,2
463,20140111130984,2,37,2
464,20140111130984,3,10,2
465,20140111130986,1,30,1
466,20140111130986,2,30,2
467,20140111130986,3,9,1
468,20140111130991,1,38,2
469,20140111130991,2,39,1
470,20140111130997,1,72,2
471,20140111130997,2,75,1
472,20140111130998,1,17,1
473,20140111130998,2,45,2
474,20140111130998,3,42,1
475,20140111130998,6,13,1
476,20140111131007,1,85,2
477,20140111131007,2,53,2
478,20140111131015,1,18,2
479,20140111131015,2,48,2
480,20140111131015,3,50,1
481,20140111131015,4,20,1
482,20140111131015,5,13,1
483,20140111131019,1,57,2
484,20140111131031,1,24,1
485,20140111131031,2,26,2
486,20140111131031,3,1,2
487,20140111131031,4,1,2
488,20140111131042,1,60,1
489,20140111131042,2,12,1
490,20140111131046,1,66,2
491,20140111131046,2,68,1
492,20140111131054,1,28,1
493,20140111131054,2,22,2
494,20140111131054,3,6,2
495,20140111131069,1,33,2
496,20140111131069,2,40,1
497,20140111131069,3,9,2
498,20140111131069,4,7,1
499,20140111131069,5,5,1
500,20140111131078,1,58,2
501,20140111131078,2,56,1
502,20140111131092,1,30,1
503,20140111131092,2,68,1
504,20140111131092,3,66,2
505,20140111131092,4,29,2
506,20140111131098,1,52,1
507,20140111131098,2,45,2
508,20140111131098,3,22,2
509,20140111131116,1,27,1
510,20140111131116,2,26,2
511,20140111131116,3,4,1
512,20140111131120,1,25,1
513,20140111131120,2,25,2
514,20140111131123,1,17,2
515,20140111131123,2,59,1
516,20140111131123,3,58,2
517,20140111131123,4,23,2
518,20140111131123,5,22,1
519,20140111131131,1,68,2
520,20140111131140,1,78,2
521,20140111131147,1,55,2
